ID Curso,BLOQUE,CATÁLOGO,Descripción,Materia,SEM,CRÉ,Horas SEM,Carrera,OPTATIVA,ACADEMIA,LAB,FICT,Jefe de Academia,Horas totales
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN1D,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN1D,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN2A,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN2A,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN2A,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN2B,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN2B,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN2B,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN2C,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN2C,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN2C,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN2D,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN2D,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN2D,,DOP,A,,#REF!,96
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN1A,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN1B,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN1C,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN1D,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN2A,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN2B,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN2C,,ESA,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IIN2D,,ESA,A,,#REF!,128
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA1,,HUM,A,,#REF!,96
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA2,,HUM,A,,#REF!,96
025869,BA,MAT101,CÁLCULO DIFERENCIAL,MATE_ING,1,8,4,ICA1,,MAT,A,,#REF!,128
025870,BA,MAT102,ÁLGEBRA,MATE_ING,1,8,4,ICA1,,MAT,A,,#REF!,128
025870,BA,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,ICA2,,MAT,A,,#REF!,128
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA1,,MEC,A,L,#REF!,112
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA2,,MEC,A,L,#REF!,112
028444,BA,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA1,,ETF,A,L,#REF!,112
028444,BA,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA1,,ETF,A,L,#REF!,112
028444,BA,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA2,,ETF,A,L,#REF!,112
028444,BA,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA2,,ETF,A,L,#REF!,112
028445,BA,ESC101,INTRODUCCIÓN A LA INGENIERÍA CIVIL,ESTC_ING,1,6,3,ICA1,,CONS,A,,#REF!,96
028445,BA,ESC101,INTRODUCCIÓN A LA INGENIERÍA CIVIL,ESTC_ING,1,6,3,ICA2,,CONS,A,,#REF!,96
028451,BA,ESC103,DISEÑO PARA LA INGENIERÍA CIVIL,ESTC_ING,1,4,3,ICA1,,CONS,A,L,#REF!,64
028451,BA,ESC103,DISEÑO PARA LA INGENIERÍA CIVIL,ESTC_ING,1,4,3,ICA2,,CONS,A,L,#REF!,64
019123,BA,IDI004,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,6,3,IAV,,IDI,A,,#REF!,96
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IAV,,HUM,A,,#REF!,96
023770,BA,MAT010,CÁLCULO DIFERENCIAL,MATE_ING,1,8,4,IAV,,MAT,A,,#REF!,128
023771,BA,MAT009,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IAV,,MAT,A,,#REF!,128
023772,BA,COM019,ANÁLISIS Y DIS DE ALGORITMOS,COMP_ING,1,8,4,IAV,,COM,L,,#REF!,128
023773,BA,IDI028,DIBUJO NATURAL,IDI_ING,1,4,2,IAV,,ANIM,A,L,#REF!,64
023774,BA,COM021,ANIMACIÓN DE PERSONAJES,COMP_ING,1,4,2,IAV,,ANIM,L,,#REF!,64
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,CSE,,HUM,A,,#REF!,96
025870,BA,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,128,CSE,,MAT,A,,#REF!,128
025871,BA,COM101,ANÁLISIS Y DIS DE ALGORITMOS,COMP_ING,1,8,128,CSE,,COM,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,96,CSE,,ESA,A,,#REF!,96
025873,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,112,CSE,,MEC,L,,#REF!,112
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IME,,HUM,A,,#REF!,96
025870,BA,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IME,,MAT,A,,#REF!,128
025872,BA,COE002,REDACCIÓN,COE_ING,1,6,3,IME,,ESA,A,,#REF!,96
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IME,,MEC,A,L,#REF!,112
028444,BA,ETF101,QUÍMICA,ETF_ING,1,7,4,IME,,ETF,A,L,#REF!,112
028444,BA,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,IME,,ETF,A,L,#REF!,112
028920,BA,MEC102,DISEÑO ASISTIDO POR COMPUTADORA MEC,MECA_ING,1,6,3,IME,,MEC,A,O,#REF!,96
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IID1,,HUM,A,,#REF!,96
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IID2,,HUM,A,,#REF!,96
025870,BA,MAT102,ÁLGEBRA,MATE_ING,1,8,4,IID1,,MAT,A,,#REF!,128
025870,BA,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IID2,,MAT,A,,#REF!,128
028921,BA,IDI102,PRINCIPIOS DE DIBUJO,IDI_ING,1,6,3,IID1,,IDI,A,,#REF!,96
028921,BA,IDI102,PRINCIPIOS DE DIBUJO,IDI_ING,1,6,3,IID2,,IDI,A,,#REF!,96
028922,BA,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,IID1,,IDI,A,O,#REF!,80
028922,BA,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,IID2,,IDI,A,O,#REF!,80
029567,BA,IDI101,TALLER DE CREATIVIDAD PARA EL DESARROLLO,IDI_ING,1,8,5,IID1,,IDI,A,O,#REF!,128
029567,BA,IDI101,TALLER DE CREATIVIDAD PARA EL DESARROLLO,IDI_ING,1,8,5,IID2,,IDI,A,O,#REF!,128
029568,BA,IDI111,TENDENCIAS ESTÉTICAS DEL DISEÑO,IDI_ING,1,6,3,IID1,,IDI,A,,#REF!,96
029568,BA,IDI111,TENDENCIAS ESTÉTICAS DEL DISEÑO,IDI_ING,1,6,3,IID2,,IDI,A,,#REF!,96
029569,BA,IDI121,ESTRUCTURAS FÍSICAS PARA EL DISEÑO DE PRODUCTOS,IDI_ING,1,6,4,IID1,,IDI,A,O,#REF!,96
029569,BA,IDI121,ESTRUCTURAS FÍSICAS PARA EL DISEÑO DE PRODUCTOS,IDI_ING,1,6,4,IID2,,IDI,A,O,#REF!,96
035626,BA,TAUTOC ,TALLER AUTOCAD,LAB_ARQ,1,0,2,ARQA,,ARQ,#N/D,#N/D,#REF!,32
035626,BA,TAUTOC ,TALLER AUTOCAD,LAB_ARQ,1,0,2,ARQB,,ARQ,#N/D,#N/D,#REF!,32
034849,BA,LAB,LAB. DE CMD ARQ,LAB_ARQ,1,0,2,ARQA,,ARQ,#N/D,#N/D,#REF!,32
034849,BA,LAB,LAB. DE CMD ARQ,LAB_ARQ,1,0,2,ARQB,,ARQ,#N/D,#N/D,#REF!,32
